ID,Area,V1_or_Assumption,Physical_Reality_or_Risk,Required_Treatment,Closure_Criterion,Owner,Status,Evidence
S2H-01,Geometry,"Simplified TurtleBot 4 Standard-class body","Shell and effective footprint may differ from simplified collision geometry","Use official eight-point 0.189 m radius footprint initially; inspect and measure ASU unit","Footprint and inflation pass doorway/clearance checks",Jan Cuesta,Open,
S2H-02,Kinematics,"Ideal differential-drive wheel model","Real wheel calibration compliance caster and floor effects","Load vendor URDF/controller values; measure straight and rotation error","Controlled low-speed motion error characterized; any changes evidence-backed",Jan Cuesta,Open,
S2H-03,Odometry,"Simulated wheel-derived odometry","Create 3 fuses wheel encoders IMU and optical flow","Use /odom; test drift covariance slip and floor dependence","Bag analysis documents drift and covariance behavior",Jan Cuesta,Open,
S2H-04,LiDAR,"Ideal scan geometry and timing","RPLIDAR A1M8 noise occlusion reflectivity and mounting error","Match rate/FOV/range where practical; inspect frame and scan orientation","Recorded scan aligns with known geometry and TF",Jan Cuesta,Open,
S2H-05,Timing,"Local deterministic transport","DDS Wi-Fi USB SBC load and clock skew","Time-sync hosts; measure rates age latency loss and throttling","Critical timing satisfies project thresholds or approved revision",Jan Cuesta,Open,
S2H-06,Command API,"Isaac bridge may accept geometry_msgs/Twist","TurtleBot 4 Jazzy Nav2 uses stamped velocity while Create 3 also supports unstamped","Use one project adapter/remap and one active command owner","Unit topic type verified and only selected owner can move base",Jan Cuesta,Open,
S2H-07,Safety,"Simulated collision and stop inputs","Bump cliff wheel-drop backup-limit and /e_stop behavior","Retain safety features; bench-test applicable stop paths","Normal cancel Manual Safety Stop and Emergency Stop pass",Jan Cuesta,Open,
S2H-08,Dynamics,"Approximate mass friction acceleration","Floor payload battery and controller limits change response","Begin at 0.10 m/s; tune acceleration/controller before increasing speed","Stable stopping/tracking at project speed limits",Jan Cuesta,Open,
S2H-09,Localization,"Known simulated placement and clean geometry","Approximate physical initial pose and sensor ambiguity","Reuse saved-map workflow; test AMCL at S1 S2 and S3","Localization gate passes from all frozen starts",Jan Cuesta,Open,
S2H-10,Environment,"Programmed permanent and controlled moving obstacles","Real clutter people doors and layout changes","Static map for permanent geometry; live costmap for temporary/moving objects","No stale obstacle encoding; live avoidance demonstrated",Jan Cuesta,Open,
S2H-11,Compute,"Desktop runs simulation and autonomy","Raspberry Pi 4 resource and thermal constraints","Profile placement; offload visualization/heavy perception; disable unused streams","Sustainable rates and no function/timing violation",Jan Cuesta,Open,
S2H-12,Camera,"RGB-D excluded from V1","Physical Standard includes OAK-D-Pro","Keep navigation independent for V1/V2; integrate intentionally in V3","Camera presence recorded without becoming V1 dependency",Jan Cuesta,Open,
