risk_id,risk,cause,effect,priority,owner,trigger,mitigation,verification,status
R-01,Uncontrolled motion,"Competing publisher, stale command, software crash, or mode error",Collision or inability to stop,High,Developer,Unexpected nonzero command or motion outside an authorized state,"Single command owner, watchdog, Manual Safety Stop, Emergency Stop, state interlocks",TC-CMD-OWN-01; TC-WATCHDOG-01..04; TC-ESTOP-01..04,Open
R-02,Collision or inadequate clearance,"Incorrect footprint, inflation, controller tuning, or world geometry",Contact or unsafe transfer assumptions,High,Developer,Clearance below 0.20 m or any contact,Validate footprint and geometry; conservative speeds; collision and clearance monitors,TC-CLEARANCE-01; TC-COLLISION-01..02,Open
R-03,Localization loss or false confidence,"Poor initial pose, symmetric features, bad TF, stale scan, or odometry drift",Incorrect planning and motion,High,Developer,Covariance or pose freshness outside limits; implausible jump,"Readiness gate, asymmetric world, health monitoring, motion inhibition",TC-LOC-READY-01; TC-LOC-LOSS-01,Open
R-04,Stale or missing obstacle data,"LiDAR or bridge failure, QoS mismatch, timing slowdown",Robot drives using obsolete free space,High,Developer,Data age above 0.25 s or missed rate budget,"Freshness monitor, stop on loss, fault injection",TC-DATA-LOSS-01; TC-PERF-AGE-01,Open
R-05,Incorrect or distorted map,"SLAM drift, bad odometry, incomplete coverage, or wrong resolution","Blocked routes, false openings, poor localization",High,Developer,Map accuracy or topology test fails,"Map QA metrics, visual overlay, clean-restart test",TC-MAP-ACC-01..02; TC-MAP-TOPO-01,Open
R-06,Temporary obstacle not marked or cleared,Costmap configuration or raytracing error,"Collision, needless blockage, or failed recovery",High,Developer,Marking or clearing latency exceeds target,Dedicated TB tests; retain scan and costmap evidence,TC-OBS-MARK-01; TC-OBS-CLEAR-01,Open
R-07,Simulation slowdown,"Excess rendering, sensors, logging, or CPU/GPU load","Stale data, delayed control, invalid trials",Medium,Developer,RTF or data-rate budget violated,"Lightweight world, benchmarked launcher, performance logging",TC-PERF-RTF-01..02; TC-SOAK-01,Open
R-08,Thermal throttling,Sustained CPU/GPU load on laptop,Performance degradation or crash,Medium,Developer,Temperature trend and clock/utilization evidence indicate throttling,"Monitor temperatures, reduce rendering load, stop invalid runs",TC-EVID-PERF-01; TC-SOAK-01,Monitor
R-09,Incorrect robot geometry or dynamics,Provisional Create 3 values differ from final ASU robot,Poor simulation behavior and sim-to-real mismatch,High,Developer and hardware contact,Professor or inspection confirms mismatch,"Step 3 interface record; parameterize footprint, wheels, limits, and frames",Step 3 review; TC-NAV-SPEED-01,Open
R-10,Software-version incompatibility,"Isaac Sim, ROS 2, Nav2, bridge, or driver mismatch","Build, startup, or runtime failure",Medium,Developer,Package or API incompatibility appears,Freeze versions and installation procedure; clean-start smoke test,Step 4 environment test,Open
R-11,Unrepeatable evidence,"Ad hoc goals, configuration drift, missing logs, or manual fixes",Results cannot support portfolio or release claims,Medium,Developer,Trial lacks configuration identity or evidence,"Named scenarios, automatic metadata, immutable failure retention",TC-EVID-META-01; TC-REPRO-01,Open
R-12,Recovery loop or unsafe recovery,"Unbounded behavior tree, backup, or repeated spin","Collision risk, timeout, or confusing behavior",High,Developer,Recovery exceeds 30 s or repeats prohibited action,"Bounded recovery, no backup/repeated spin, failure to Ready",TC-REC-ACT-01; TC-REC-LIMIT-01,Open
R-13,Emergency Stop misunderstood as certified safety,Simulation control is presented as physical protection,Unsafe V2 expectations,High,Developer,Documentation or demo makes physical-safety claim,Explicit V1 limitation; separate V2 hardware gate,TC-V2-ESTOP-01; release review,Open
R-14,Documentation overhead delays learning,Excessive detail or duplicate records,Implementation and portfolio value delayed,Medium,Developer,"Documentation expands without enabling a decision, test, or reproduction","One controlled baseline, generated CSVs, test details written during implementation",Step review,Controlled
R-15,Single-developer knowledge concentration,Undocumented assumptions and setup knowledge,Difficult handoff or reproduction,Medium,Developer,Another user cannot execute smoke test,Lean operator instructions and release reproducibility test,TC-REPRO-01,Open
